index,mp,formulae,density,efermi
0,mp-1057286,CsH,3.421045295,0.14185536
1,mp-10616,BaLiAs,4.442764821,2.47973006
2,mp-1078746,Sr2FeH6,3.862899921,1.88906222
3,mp-1078999,NdAlH6,4.003212035,1.97872026
4,mp-1079283,LaAlH6,3.702492803,3.6539724
5,mp-1094088,NbCoSn,8.562867736,6.57654431
6,mp-1097065,Li2HfN2,7.435260741,5.43013074
7,mp-1105,BaO2,5.534178952,2.22834475
8,mp-11652,Yb3PbO,11.79758319,4.50386498
9,mp-1178133,KSmO2,5.384853144,1.00678128
10,mp-1178135,KLuO2,6.833989346,1.10961834
11,mp-1182061,BaNaH6Ir,4.932893499,-0.31864889
12,mp-11824,Ca3PN,2.622864785,3.87373418
13,mp-1185263,LiPaO3,5.897508832,2.31466473
14,mp-1185537,Cs2HgTe,5.391629444,1.2639843
15,mp-1185959,MgS2,2.388487799,3.79466102
16,mp-1186,ZrS2,3.61866518,1.90079098
17,mp-11917,Mg(BeN)2,3.079711247,5.56064847
18,mp-1205992,HfMnF6,4.21840533,-2.00583566
19,mp-1206844,RbPaO3,7.197670045,3.0249023
20,mp-1206970,KPaO3,6.391337032,2.88447885
21,mp-1217271,Th2PNO,8.998752354,6.2437422
22,mp-1220912,NaPrS2,3.800991654,1.94544653
23,mp-1220972,NaLiZnS2,2.825872675,3.35318957
24,mp-1221101,NaBiSe2,6.024334776,2.65828024
25,mp-1221102,NaBiTe2,6.131675385,3.57417448
26,mp-1221125,NaBiS2,5.162600272,3.27721128
27,mp-1222297,LiTbS2,4.67336141,2.394956
28,mp-1222661,Li2MgCdP2,3.153883473,4.56613574
29,mp-1223443,KBiS2,4.75650785,2.56346567
30,mp-1224786,GaSbO4,6.552712296,4.61990815
31,mp-1225510,DyPaO4,9.87899812,5.32101013
32,mp-1228360,Ba2InCuO4,5.827877795,3.28503349
33,mp-1245502,Li2TiN2,3.39412805,5.13847324
34,mp-1253,BaSe,4.847306733,1.13655998
35,mp-1265,MgO,3.628903382,2.7374354
36,mp-12669,Dy2SO2,7.910279493,3.15874224
37,mp-12673,Lu2SO2,9.13766969,3.31184904
38,mp-1285,PtO2,11.64897938,4.60796705
39,mp-13039,Tm2C(NO)2,7.196238053,1.78270581
40,mp-13287,BaCuTeF,6.120271073,4.60275758
41,mp-13313,ScTlSe2,6.44774219,4.57843047
42,mp-13983,ZnPdF6,4.935602746,-1.99652884
43,mp-14069,CsAlO2,4.754254032,2.49624856
44,mp-14093,TbOF,8.094797499,1.60864838
45,mp-1413,P2Ru,6.197070793,8.18280746
46,mp-1415,CaSe,3.77164603,2.43012507
47,mp-149,Si,2.312800253,5.63019776
48,mp-1500,BaS,4.190346372,1.35700937
49,mp-1538990,MgNiF6,,
50,mp-15781,KLaS2,3.452967014,2.51456866
51,mp-15785,KDyS2,4.278476684,1.69879985
52,mp-15788,LiYS2,3.27580184,2.93821393
53,mp-15791,LiErS2,5.009650252,2.5034001
54,mp-15794,LiYSe2,4.575354968,2.3846198
55,mp-15797,LiErSe2,6.126922528,2.31434152
56,mp-16037,Dy2TeO2,8.458838402,4.84812652
57,mp-1672,CaS,2.581034201,2.66171321
58,mp-16742,BaAgTeF,6.298244067,3.4487153
59,mp-1779,YbTe,7.955617605,3.36513253
60,mp-1880,SbF3,4.740151396,0.40286621
61,mp-1958,SrTe,4.728243243,2.74147484
62,mp-1960,Li2O,1.969302476,-0.15652004
63,mp-19717,TePb,7.943355935,5.11774509
64,mp-19799,BaPbF6,5.988964399,-1.2041057
65,mp-19896,Li2GePbS4,4.104667869,2.63948985
66,mp-20072,LaCuO2,5.396420034,4.19604131
67,mp-20458,PtPbF6,7.879112951,0.9762886
68,mp-20459,TiPbO3,7.801556472,4.88395
69,mp-20463,CaPbF6,3.728275499,-3.70066556
70,mp-20727,Sb2PbO6,6.885286752,4.1932658
71,mp-2074,Li3Sb,3.378028256,4.20198948
72,mp-20782,LiInTe2,4.704605033,2.62693032
73,mp-2172,AlAs,3.701817726,3.58128419
74,mp-22003,NaN3,1.903754493,-0.1447177
75,mp-2286,Li2Se,2.924458277,0.34245106
76,mp-22925,AgI,5.513316054,1.39863841
77,mp-22965,BiTeI,6.367951493,3.23849884
78,mp-22987,BiIO,7.588488276,4.12884893
79,mp-22993,AgClO4,4.229779246,0.57855162
80,mp-23008,PbBrF,7.574955408,2.70189879
81,mp-23009,Ca2BrN,3.534226822,3.02479034
82,mp-23059,Rb2SnCl6,3.179377462,-0.59115021
83,mp-23154,Br,,
84,mp-23162,ZrCl2,4.027093993,4.67975569
85,mp-23211,PrCl3,3.919534134,0.71296134
86,mp-23350,Rb2PtCl6,3.873459858,-0.39180719
87,mp-23405,Cs2TeBr6,4.262190086,-0.09562952
88,mp-23513,K2PtCl6,3.449255388,-0.28395751
89,mp-23818,BaLiH3,3.789069851,1.16875057
90,mp-24084,KH,1.459479754,-1.58684472
91,mp-24428,KH2N,1.74788596,-0.20540668
92,mp-24721,RbH,2.648368172,-1.06859736
93,mp-2490,GaP,4.128066394,3.4774535
94,mp-2530,Li2Te,3.400299879,2.26399067
95,mp-2667,CsAu,6.972598524,1.12257061
96,mp-2691,CdSe,5.489907313,0.4845965
97,mp-27421,RbBiF6,5.127346043,-3.19542088
98,mp-27422,CsBiF6,5.119599922,-3.42421705
99,mp-27439,TmIO,7.208010992,2.53155733
100,mp-27487,Li2ThN2,7.015749818,4.04498253
101,mp-27691,K2PtBr6,4.485859988,-0.33168394
102,mp-27775,U(BiO3)2,10.04084392,5.78924142
103,mp-27823,SmClO,6.258666743,2.25586744
104,mp-27829,Rb2SeCl6,3.004494929,-0.58391376
105,mp-27984,PrClO,5.605913979,2.18827316
106,mp-2815,MoS2,4.502639494,3.87623833
107,mp-31451,ZrCoBi,10.06701907,5.94056001
108,mp-3834,BaZrO3,6.143794292,2.15629621
109,mp-406,CdTe,5.636239503,1.77816521
110,mp-4124,CaCN2,2.280192325,1.75282132
111,mp-505297,NbSbRu,8.903879238,7.15066285
112,mp-546500,NaCNO,1.824578437,-1.06749574
113,mp-559798,NiF2,4.858200008,0.401624
114,mp-561203,F2,2.33253471,-2.67828246
115,mp-567290,LaN,5.787230826,6.49482042
116,mp-567636,VFeSb,7.969117301,7.5395165
117,mp-571093,BaAlSiH,3.751107717,3.87963666
118,mp-5840,LiScO2,3.430721979,1.8551828
119,mp-5878,KZnF3,4.044777029,-1.19857267
120,mp-588,GaF3,4.59769198,-2.68597241
121,mp-5955,NaSbF6,3.039349918,-4.08593426
122,mp-605034,K2NiF6,3.251503736,-3.04040066
123,mp-614603,CsI,3.622301623,-0.59259488
124,mp-643002,Mg2H6Os,5.568010148,2.39420718
125,mp-643260,Na2H4Pd,2.87963356,-0.98793614
126,mp-644222,CdHClO,4.349893748,-0.09261287
127,mp-665,SnSe2,5.540601276,2.70440502
128,mp-672,CdS,4.702284794,0.90711455
129,mp-677335,GaPO4,3.073835356,-1.33909756
130,mp-697038,Ba2H6Ru,4.829775327,1.32609141
131,mp-697044,Ba2H6Os,5.902451266,1.41689855
132,mp-6978,RbHoO2,6.969574107,1.30058917
133,mp-7046,RbDyS2,4.746185742,1.69590908
134,mp-706,HgF,9.863237874,-1.1701719
135,mp-7113,CrAuS2,6.734894551,3.89808343
136,mp-736,Li3P,1.478420706,1.67696929
137,mp-7478,RbTmO2,7.267878191,1.40979858
138,mp-7482,RbHgF3,6.050618362,-1.06282461
139,mp-7523,Th2TeN2,9.265666775,6.32919292
140,mp-753774,KTmO2,6.503514773,1.12657789
141,mp-753920,Tm2SeO2,9.109329192,3.61437888
142,mp-754065,Hg(SbO3)2,7.493444992,2.98304406
143,mp-754138,CsDyO2,7.374515147,2.29221196
144,mp-754154,CsHoO2,7.511636542,2.34369422
145,mp-754158,KNdO2,5.048882822,0.9683127
146,mp-755311,NaLuO2,7.455270235,1.15155177
147,mp-755340,Tb2SeO2,8.14433012,3.51700405
148,mp-755651,CsGdO2,6.993485735,2.43068846
149,mp-7569,KAsF6,3.416702983,-3.03582182
150,mp-760482,F2,2.33253471,-2.67828246
151,mp-769284,Dy2SeO2,8.422830035,3.62629283
152,mp-7921,MgPdF6,4.278400245,-1.51059418
153,mp-7939,NaNbSe2,5.549090461,4.74149725
154,mp-804,GaN,6.08097682,3.4401233
155,mp-8175,KTlO2,7.257630322,2.57300539
156,mp-8188,KScO2,3.511130092,1.82205967
157,mp-8226,ThNF,9.346448352,5.68579026
158,mp-8278,Ba(MgP)2,3.257013304,2.98038428
159,mp-864755,LiAcTe2,6.525616905,5.56883723
160,mp-865081,NaAcTe2,6.48175074,5.52837893
161,mp-865145,NaTl2Bi,8.784361135,4.66830062
162,mp-866291,AgBr,5.133693103,-0.16906297
163,mp-867261,RbSrCO3F,,
164,mp-867341,CsAcTe2,,
165,mp-9126,Sr(SbO3)2,5.429785994,2.4277574
166,mp-9244,LiBC,2.183366716,4.2961937
167,mp-9262,Cs2PtF6,5.26265787,-1.43969073
168,mp-9517,SrTiN2,4.659605808,3.88282441
169,mp-9562,LiBeAs,3.506186867,3.86092244
170,mp-9573,NaBeAs,3.180153656,2.3730639
171,mp-961673,TiFeTe,7.682775238,8.34164394
172,mp-961713,ZrSnPt,10.35442345,6.32373867
173,mp-9631,AlAgO2,6.306938397,4.20479798
174,mp-972965,GdF3,8.110705929,1.35545096
175,mp-976280,LiBr,2.903220848,-1.62961997
176,mp-978852,SrGaSnH,5.107242087,4.20085945
177,mp-9799,Yb4As2O,9.530803508,2.4971205
178,mp-9821,RbSbF6,4.249573401,-2.92902941
179,mp-9912,Li2CeP2,3.610983352,3.60558285
180,mp-996962,LiAgO2,5.444915828,0.62415795
181,mp-997089,NaAuO2,7.888517735,1.67059515
182,mp-998552,BaHfO3,8.332451499,2.43655296
183,mp-998761,TlNiF3,7.783389719,2.38909251
184,mp-999119,TbTlS2,6.729313742,3.77282913
185,mp-999289,PrTlSe2,6.624028139,3.18508956
186,mp-999448,NaYSe2,4.395078824,1.90679421
187,mp-999470,NaNdS2,3.946611965,1.91606591
188,mp-999471,NaNdSe2,4.941422914,1.60171077
189,mp-999474,NaHoSe2,5.699071243,1.8908047
190,mp-999488,NaDySe2,5.618012842,1.8180069
191,mp-999489,NaGdSe2,5.391757966,1.80306694
192,mp-999490,NaDyS2,4.612808972,2.13117783
193,mvc-14678,MgTiF6,,
194,mp-1001780,LuCuS2,6.521776915,4.34539993
195,mp-1006885,KNdS2,3.688600967,1.42509183
196,mp-10086,YSF,4.783357557,4.28635563
197,mp-1009084,BeSnAs2,5.175533824,4.66131168
198,mp-1009085,BeSiP2,2.470076622,5.27498942
199,mp-1011695,Cs2Se,3.797509932,0.60717769
200,mp-1013527,BeGeP2,3.414334236,4.98191575
201,mp-1013550,Ca3SbP,2.906845518,3.50858088
202,mp-1014251,HfZnN2,9.411421977,4.06665717
203,mp-1017508,LuTlTe2,7.816211963,4.85622329
204,mp-1018025,LuAgO2,8.559651703,1.11421133
205,mp-1018737,KMgP,2.09998257,2.12058321
206,mp-1025029,PrHSe,6.412804533,3.20329013
207,mp-1025250,RhF6,2.891415436,-4.91613004
208,mp-1025396,NbTl3Se4,6.735267915,1.89228034
209,mp-1029312,RbVN2,3.985198981,2.16143941
210,mp-1029330,Hf2SeN2,10.36696631,5.46005967
211,mp-1029385,Li2SnN2,5.342798514,5.73018121
212,mp-10322,BaHfN2,7.934364725,3.37402275
213,mp-10401,Tl2SnF6,7.091443364,0.02771253
214,mp-10402,TiTl2F6,6.554976333,-0.36563722
215,mp-10572,NaPN2,3.195148459,4.38749571
216,mp-1065514,YTlTe2,6.5054937,4.56872985
217,mp-1066781,BrCl,2.419080472,-1.71213064
218,mp-1066791,TmTlS2,7.158594713,3.91245091
219,mp-1067280,TmTlSe2,7.792289271,3.50645408
220,mp-1070099,Ca(GaAs)2,4.76303575,3.90141683
221,mp-1070852,YbHCl,7.491489778,1.16869715
222,mp-10748,TaCu3S4,5.025571148,3.01692792
223,mp-1077553,Sr2BBrN2,3.680481674,1.51197353
224,mp-10778,RbPrSe2,4.774641389,1.24394201
225,mp-10779,RbNdSe2,4.889828111,1.24667592
226,mp-10783,RbHoSe2,5.589732251,1.50856659
227,mp-10785,RbLuSe2,5.917107563,1.74036733
228,mp-1078552,Li2H6Pt,4.856671247,-0.77772612
229,mp-1078677,Sr2H6Os,5.567303669,1.33692805
230,mp-1078726,CsHoS2,5.236562335,2.30194592
231,mp-1079627,PrAlH6,3.841934868,2.07651378
232,mp-1079647,BaAgSeF,6.142612558,2.49357384
233,mp-1079896,Ca2H6Ru,3.341859281,1.63560575
234,mp-1080747,ScAlCO,3.587304858,6.03704088
235,mp-1080771,NaCl7,2.143054773,0.6241021
236,mp-1086652,BaAgSF,5.637314435,2.57443434
237,mp-1087,SrS,3.593405711,1.8660166
238,mp-1087532,CsLuS2,5.583005762,2.38667883
239,mp-10919,Rb2PtC2,4.92066186,1.2735678
240,mp-10969,CdCN2,4.754058842,1.56267834
241,mp-10996,Yb(MgSb)2,5.511330421,4.0900354
242,mp-1100415,ZrSbRh,8.393218008,6.44837843
243,mp-1101301,TeO3,5.250929415,1.05276267
244,mp-1101401,RbPrO2,5.571089896,1.43107084
245,mp-11019,GaCuO2,6.267888092,4.15341595
246,mp-11020,GaAgO2,7.234829672,2.52557321
247,mp-11022,ScAgO2,5.538115174,2.05572858
248,mp-11178,SrCeN2,6.181736033,4.87763601
249,mp-1120763,Cs3VSe4,3.98615436,0.33488618
250,mp-11740,KNdTe2,4.803220526,2.52994265
251,mp-1180133,NaCaH6Ir,4.600387616,0.14746808
252,mp-1182867,AlWO4,7.674028353,4.32611183
253,mp-1183053,AcGaO3,9.314495003,5.47693479
254,mp-1183115,AcAlO3,8.728230082,6.94886555
255,mp-1183920,CsPaO3,7.868862178,3.47557985
256,mp-1187892,Yb2H6Ru,8.649106772,0.8832199
257,mp-1190,ZnSe,5.274845269,1.321407
258,mp-1205754,Na2CeF6,4.480827045,-0.79267924
259,mp-1205964,Ca2FeH6,2.760024957,2.1178021
260,mp-1206514,Mg3AsN,3.611166352,4.712618
261,mp-1206568,Cs2PdCl6,3.538922375,-0.85337778
262,mp-1206803,Y2CI2,5.109231348,3.55033907
263,mp-1206881,LiTaS2,6.687502537,7.22833211
264,mp-1207080,TbHSe,7.878511363,3.97410461
265,mp-1207082,LiMgSb,3.497205071,3.11473034
266,mp-1207092,GdHSe,7.622042363,3.79203447
267,mp-1207108,BaAlGeH,4.525273641,3.73762939
268,mp-1207186,DyHSe,8.126823581,3.97079308
269,mp-1207192,NdHSe,6.678415863,3.391015
270,mp-1207196,Ca2H6Os,4.859029059,1.72985672
271,mp-1208162,Tl2GeF6,7.012088226,-0.22174066
272,mp-1209302,Rb2TcCl6,3.186159465,-0.15097309
273,mp-1217281,Th2AsNO,9.448348452,6.17262727
274,mp-1217996,TaCu3Se3S,5.846707644,2.81235618
275,mp-1218382,Sr4Bi2O,5.83306953,3.3491109
276,mp-1219240,ScPaO4,7.899742823,5.96065777
277,mp-1220714,NaLaS2,3.682884643,3.24665351
278,mp-1220883,NaSbTe2,5.235361867,4.30227311
279,mp-1221936,MgMnTe2,4.218260352,2.9270554
280,mp-1222370,LiGdS2,4.537232706,2.45300634
281,mp-1222404,LiBiS2,5.445330662,3.88222949
282,mp-1224210,InCuGeSe4,5.026789959,2.93671323
283,mp-1224851,GaCuGeSe4,5.082918035,2.87321888
284,mp-1225447,ErPaO4,10.14023079,5.32135424
285,mp-1227238,CaBiIO2,6.122036428,3.51993946
286,mp-1228342,Ba2ScO3F,5.322921318,2.01987698
287,mp-12317,SrCN2,3.069842934,0.90223532
288,mp-1232332,ZnCu2SiSe4,5.078185669,3.4454038
289,mp-1245429,MgZrN2,5.211573085,5.16504125
290,mp-12668,Tb2SO2,7.628861158,3.15734111
291,mp-12904,HoAgTe2,7.43282922,4.36647571
292,mp-12957,O2,,
293,mp-13031,MgSe,3.2762225,0.87057675
294,mp-13275,NaSrP,3.090204867,2.58578418
295,mp-13276,SrLiP,3.133051646,2.68378373
296,mp-1342,BaO,5.859229671,1.72769767
297,mp-13660,Ca4Sb2O,3.872293519,4.33754022
298,mp-13972,Sm2SeO2,7.328209708,3.19540706
299,mp-13974,Ho2SeO2,8.658025319,3.59247845
300,mp-14205,K3Cu3As2,3.89674057,2.20192569
301,mp-14437,RbYO2,5.016128331,1.43050942
302,mp-1479,BP,2.981368783,7.5307309
303,mp-1541180,ZnNiF6,,
304,mp-15783,KSmS2,3.883473906,1.54744585
305,mp-15784,KGdS2,4.074315144,1.79235657
306,mp-15786,KHoS2,4.359707362,1.67989461
307,mp-15789,LiDyS2,4.799515073,2.78006983
308,mp-15792,LiGdSe2,5.675432096,2.55225743
309,mp-15793,LiTbSe2,5.79031065,2.57718696
310,mp-15795,LiDySe2,5.92236211,2.27143029
311,mp-1591,Al4C3,2.99175225,7.3085706
312,mp-15988,Li2CuSb,5.311636127,6.07379469
313,mp-16032,Pr2TeO2,6.711990206,4.30219745
314,mp-16033,Sm2TeO2,7.482034219,4.25676128
315,mp-16036,Tb2TeO2,8.212666352,4.78171167
316,mp-16236,KAgSe,4.778170643,1.56917696
317,mp-16763,KYTe2,4.452008487,2.93610426
318,mp-1747,K2Te,2.495220889,-0.14381336
319,mp-1776,UN2,12.13049248,9.78672188
320,mp-1820,YbS,7.736289279,2.08335964
321,mp-1852,UF5,5.998267057,0.67060273
322,mp-1873,ZnF2,4.956090145,-1.60507351
323,mp-19178,CoAgO2,7.578299942,2.79283801
324,mp-19734,MgPbF6,5.318339359,-2.05756771
325,mp-20098,Ba2PbO4,7.203059759,2.40060852
326,mp-20731,In2HgSe4,6.005962726,2.07805823
327,mp-2176,ZnTe,5.616959252,2.85423966
328,mp-21855,VCu3Se4,5.341420813,2.79078136
329,mp-22848,Cl2,2.089777517,-1.70072791
330,mp-22859,HgI,7.187592341,0.76764492
331,mp-22877,VCl2,2.89677191,3.35516193
332,mp-22897,HgCl,6.920946902,-0.99028447
333,mp-22916,NaBr,3.288928095,-0.72405064
334,mp-22922,AgCl,5.582622712,1.49474467
335,mp-22935,CsBrF,4.157339186,-0.87551023
336,mp-22936,Ca2NCl,2.824901799,3.25382676
337,mp-22946,CrClO,3.502482557,2.98741964
338,mp-22956,K2PdCl4,2.65656763,-0.4736166
